counterstatepcrdaddrrdatacrdatahrdatalwrenwraddrwdatacwdatahwdatal	     	  	      	      	        	        	    	      	      	        	        
counter	tid	state	pc	rdaddr	rdatac	rdatah		rdatal		wren	wraddr	wdatac	wdatah		wdatal
  0	2	2	0a	ed	ff	0020001f	000400f6	 1	ed	ff	0020001f	000400f6
  1	3	0	11	ed	ff	0020001f	000400f6	 1	ee	00	0180c200	000eb439
  2	3	2	18	ed	ff	0020001f	000400f6	 1	ef	00	d6eed4d5	88cc0207
  3	2	0	01	ed	ff	0020001f	000400f6	 1	f0	00	04b439d6	eec40004
  4	2	2	0b	ed	ff	0020001f	000400f6	 1	f1	00	03073433	06020078
  5	3	0	12	ed	ff	0020001f	000400f6	 1	f2	00	08034231	390a0648
  6	3	2	19	ed	ff	0020001f	000400f6	 1	f3	00	50313863	310c9348
  7	2	0	02	ed	ff	0020001f	000400f6	 1	f4	00	50204a38	36393741
  8	2	2	0c	ed	ff	0020001f	000400f6	 1	f5	00	20537769	74636820
  9	3	0	13	ed	ff	0020001f	000400f6	 1	f6	00	35343036	7a6c2c20
  a	3	2	1a	ed	ff	0020001f	000400f6	 1	f7	00	72657669	73696f6e
  b	2	0	00	ed	ff	0020001f	000400f6	 1	f8	00	204b2e31	362e3032
  c	2	2	06	ed	ff	0020001f	000400f6	 1	f9	00	2e303032	312c2052
  d	3	0	0d	ed	ff	0020001f	000400f6	 1	fa	00	4f4d204b	2e31352e
  e	3	2	14	ed	ff	0020001f	000400f6	 1	fb	00	33302028	2f77732f
  f	2	0	01	ed	ff	0020001f	000400f6	 1	fc	00	73776275	696c646d
 10	2	2	07	ed	ff	0020001f	000400f6	 1	fd	00	2f72656c	5f73706f
 11	3	0	0e	ed	ff	0020001f	000400f6	 1	fe	00	6b616e65	5f71616f
 12	3	2	15	ed	ff	0020001f	000400f6	 1	ff	00	66662f63	6f64652f
 13	2	0	02	ed	ff	0020001f	000400f6	 1	00	00	6275696c	642f6274
 14	2	2	08	ed	ff	0020001f	000400f6	 1	01	00	6d287377	6275696c
