counter	outwr	changereader	currentreader	c1ftsfrden	ftsfrden	ftsfwren	changewriter	currentwriter	threadid	state	pc	rdaddr	rdatac	rdatah	rdatal	wrten	wraddr	wdatac	wdatah	wdatal
  0	0	0	2	1	1	1	0	1	1	0	0e	c3	ff	0080001f	000600f6	1	c3	ff	0080001f	000600f6
  1	0	0	2	1	1	1	0	1	1	2	15	c3	ff	0080001f	000600f6	1	c4	00	0180c200	000eb439
  2	0	0	2	1	1	1	0	1	0	0	02	c3	ff	0080001f	000600f6	1	c5	00	d6eed4d4	88cc0207
  3	0	0	2	1	1	1	0	1	0	2	08	c3	ff	0080001f	000600f6	1	c6	00	04b439d6	eec40004
  4	0	0	2	1	1	1	0	1	1	0	0f	c3	ff	0080001f	000600f6	1	c7	00	03073434	06020078
  5	0	0	2	1	1	1	0	1	1	2	16	c3	ff	0080001f	000600f6	1	c8	00	08034232	300a0648
  6	0	0	2	1	1	1	0	1	0	0	00	c3	ff	0080001f	000600f6	1	c9	00	50313863	310c9348
  7	0	0	2	1	1	1	0	1	0	2	09	c3	ff	0080001f	000600f6	1	ca	00	50204a38	36393741
  8	0	0	2	1	1	1	0	1	1	0	10	c3	ff	0080001f	000600f6	1	cb	00	20537769	74636820
  9	0	0	2	1	1	1	0	1	1	2	17	c3	ff	0080001f	000600f6	1	cc	00	35343036	7a6c2c20
  a	0	0	2	1	1	1	0	1	0	0	01	c3	ff	0080001f	000600f6	1	cd	00	72657669	73696f6e
  b	0	0	2	1	1	1	0	1	0	2	0a	c3	ff	0080001f	000600f6	1	ce	00	204b2e31	362e3032
  c	0	0	2	1	1	1	0	1	1	0	11	c3	ff	0080001f	000600f6	1	cf	00	2e303032	312c2052
  d	0	0	2	1	1	1	0	1	1	2	18	c3	ff	0080001f	000600f6	1	d0	00	4f4d204b	2e31352e
  e	0	0	2	1	1	1	0	1	0	0	02	c3	ff	0080001f	000600f6	1	d1	00	33302028	2f77732f
  f	0	0	2	1	1	1	0	1	0	2	0b	c3	ff	0080001f	000600f6	1	d2	00	73776275	696c646d
 10	0	0	2	1	1	1	0	1	1	0	12	c3	ff	0080001f	000600f6	1	d3	00	2f72656c	5f73706f
 11	0	0	2	1	1	1	0	1	1	2	19	c3	ff	0080001f	000600f6	1	d4	00	6b616e65	5f71616f
 12	0	0	2	1	1	1	0	1	0	0	00	c3	ff	0080001f	000600f6	1	d5	00	66662f63	6f64652f
 13	0	0	2	1	1	1	0	1	0	2	0c	c3	ff	0080001f	000600f6	1	d6	00	6275696c	642f6274
 14	0	0	2	1	1	1	0	1	1	0	13	c3	ff	0080001f	000600f6	1	d7	00	6d287377	6275696c
